ID,time_stamp,hashrate,Temp,powerplan,fanspeed,fanspeed_limit,hw_error_ratio
13565,2024-12-11 14:16:10,"700,931",59.9,0.0,1620.0,1620.0,0
13566,2024-12-11 14:22:50,"686,6060000000001",74.3,0.0,1380.0,1380.0,0
13567,2024-12-11 14:42:54,"741,617",60.6,0.0,1620.0,1620.0,0
13568,2024-12-11 14:49:37,"693,023",74.3,0.0,1380.0,1380.0,0
13569,2024-12-11 14:56:18,"667,814",80.6,0.0,1500.0,1500.0,0
13570,2024-12-11 15:02:59,"672,597",80.3,0.0,1500.0,1500.0,0
13571,2024-12-11 15:16:19,0,22.8,0.0,1740.0,1740.0,0
13572,2024-12-11 15:22:59,0,26.4,0.0,1680.0,1680.0,0
13573,2024-12-11 15:29:39,0,27.1,0.0,1680.0,1680.0,0
13574,2024-12-11 15:36:18,0,27.8,0.0,1680.0,1740.0,0
13575,2024-12-11 15:42:58,0,27.7,0.0,1680.0,1680.0,0
13576,2024-12-11 15:49:38,0,27.4,0.0,1680.0,1680.0,0
13577,2024-12-11 15:56:19,"6,329",27.7,0.0,1680.0,1680.0,0
13578,2024-12-11 16:02:58,"2,835",27.6,0.0,1680.0,1680.0,0
13579,2024-12-11 16:09:38,"2,451",27.4,0.0,1680.0,1680.0,0
13580,2024-12-11 16:16:19,"1,4240000000000004",27.4,0.0,1680.0,1680.0,0
13581,2024-12-11 16:22:59,"0,407",27.3,0.0,1680.0,1680.0,0
13582,2024-12-11 16:29:38,"0,774",27.5,0.0,1680.0,1680.0,0
13583,2024-12-11 16:36:19,"0,396",27.3,0.0,1680.0,1680.0,0
13584,2024-12-11 16:42:58,0,27.3,0.0,1680.0,1680.0,0
13585,2024-12-11 16:49:38,0,27.2,0.0,1680.0,1680.0,0
13586,2024-12-11 16:56:18,0,27.4,0.0,1680.0,1680.0,0
13587,2024-12-11 17:02:59,0,27.3,0.0,1680.0,1680.0,0
13588,2024-12-11 17:09:38,0,27.4,0.0,1680.0,1680.0,0
13589,2024-12-11 17:16:18,0,27.4,0.0,1680.0,1680.0,0
13590,2024-12-11 17:22:58,"1,143",27.4,0.0,1680.0,1680.0,0
13591,2024-12-11 17:29:39,"7,746",27.3,0.0,1680.0,1680.0,0
13592,2024-12-11 17:36:19,"4,1739999999999995",27.4,0.0,1680.0,1680.0,0
13593,2024-12-11 17:45:00,"0,382",27.1,0.0,1680.0,1680.0,0
13594,2024-12-11 17:51:56,"1,51",27.3,0.0,1680.0,1680.0,0
13595,2024-12-11 17:58:44,0,27.2,0.0,1680.0,1680.0,0
13596,2024-12-11 18:05:33,"5,987",27.3,0.0,1680.0,1680.0,0
13597,2024-12-11 18:12:22,"0,746",27.3,0.0,1680.0,1680.0,0
13598,2024-12-11 18:19:11,0,26.9,0.0,1680.0,1740.0,0
13599,2024-12-11 18:26:00,"2,591",27.3,0.0,1680.0,1680.0,0
13600,2024-12-11 18:32:49,0,27.1,0.0,1680.0,1680.0,0
13601,2024-12-11 18:39:38,0,27.2,0.0,1680.0,1680.0,0
13602,2024-12-11 18:46:26,"1,68",27.3,0.0,1680.0,1680.0,0
13603,2024-12-11 18:53:15,0,27.0,0.0,1680.0,1680.0,0
13604,2024-12-11 19:00:03,"6,535",27.3,0.0,1680.0,1680.0,0
13605,2024-12-11 19:06:52,"0,368",27.2,0.0,1680.0,1680.0,0
13606,2024-12-11 19:13:41,0,27.4,0.0,1680.0,1680.0,0
13607,2024-12-11 19:20:30,"2,927",27.0,0.0,1680.0,1680.0,0
13608,2024-12-11 19:27:18,0,27.3,0.0,1680.0,1680.0,0
13609,2024-12-11 19:34:07,0,27.3,0.0,1680.0,1740.0,0
13610,2024-12-11 19:40:56,"0,695",27.3,0.0,1680.0,1680.0,0
13611,2024-12-11 19:47:44,0,27.3,0.0,1680.0,1680.0,0
13612,2024-12-11 19:54:33,"3,658",27.0,0.0,1680.0,1680.0,0
13613,2024-12-11 20:01:21,"0,368",27.1,0.0,1680.0,1680.0,0
13614,2024-12-11 20:08:10,0,26.9,0.0,1740.0,1740.0,0
13615,2024-12-11 20:14:58,"1,245",27.1,0.0,1680.0,1680.0,0
13616,2024-12-11 20:21:47,0,27.2,0.0,1740.0,1740.0,0
13617,2024-12-11 20:28:36,"7,568",27.3,0.0,1680.0,1680.0,0
13618,2024-12-11 20:35:24,0,27.2,0.0,1680.0,1680.0,0
