ID,time_stamp,hashrate,Temp,powerplan,fanspeed,fanspeed_limit,hw_error_ratio
13786,2024-12-11 23:39:18,"691,0419999999999",79.4,0.0,1860.0,1920.0,0
13787,2024-12-11 23:46:07,"739,4210000000002",80.3,0.0,1380.0,1440.0,0
13788,2024-12-11 23:52:56,"702,8580000000002",78.7,0.0,1680.0,1680.0,0
13789,2024-12-11 23:59:45,"685,3919999999998",80.9,0.0,1740.0,1740.0,0
13790,2024-12-12 00:06:37,"700,768",78.6,0.0,1380.0,1440.0,0
13791,2024-12-12 00:13:26,"710,8919999999998",80.6,0.0,1740.0,1740.0,0
13792,2024-12-12 00:20:14,"694,37",80.1,0.0,1380.0,1380.0,0
13793,2024-12-12 00:27:03,"715,0160000000001",78.5,0.0,1620.0,1620.0,0
13794,2024-12-12 00:33:52,"769,6710000000002",80.6,0.0,1800.0,1860.0,0
13795,2024-12-12 00:40:40,"701,8639999999999",79.8,0.0,1380.0,1380.0,0
13796,2024-12-12 00:47:29,"696,836",79.1,0.0,1860.0,1860.0,0
13797,2024-12-12 00:54:18,"688,475",79.2,0.0,1500.0,1500.0,0
13798,2024-12-12 01:01:07,"662,4880000000002",79.8,0.0,1620.0,1620.0,0
13799,2024-12-12 01:07:55,"697,6610000000002",80.0,0.0,1560.0,1560.0,0
13800,2024-12-12 01:14:44,"727,0219999999999",79.6,0.0,1680.0,1680.0,0
13801,2024-12-12 01:21:33,"679,2660000000001",79.2,0.0,1680.0,1740.0,0
13802,2024-12-12 01:28:22,"733,0889999999998",81.1,0.0,1440.0,1500.0,0
13803,2024-12-12 01:35:10,"708,951",78.9,0.0,1380.0,1380.0,0
13804,2024-12-12 01:41:59,"717,888",80.9,0.0,1740.0,1740.0,0
13805,2024-12-12 01:48:48,"712,7310000000001",79.1,0.0,1380.0,1440.0,0
13806,2024-12-12 01:55:37,"688,934",80.6,0.0,1920.0,1920.0,0
13807,2024-12-12 02:02:26,"708,615",79.9,0.0,1380.0,1440.0,0
13808,2024-12-12 02:09:14,"731,427",80.0,0.0,1800.0,1740.0,0
13809,2024-12-12 02:16:03,"735,4299999999998",78.9,0.0,1560.0,1560.0,0
13810,2024-12-12 02:22:52,"679,617",81.2,0.0,1620.0,1620.0,0
13811,2024-12-12 02:29:41,"730,788",78.8,0.0,1320.0,1320.0,0
13812,2024-12-12 02:36:30,"687,044",79.9,0.0,1860.0,1860.0,0
13813,2024-12-12 02:43:19,"697,88",80.3,0.0,1380.0,1440.0,0
13814,2024-12-12 02:50:07,"718,2869999999999",78.6,0.0,1500.0,1500.0,0
13815,2024-12-12 02:56:56,"704,7139999999998",79.9,0.0,1860.0,1860.0,0
13816,2024-12-12 03:03:46,"738,8580000000002",79.8,0.0,1440.0,1500.0,0
13817,2024-12-12 03:10:34,"701,2960000000002",80.3,0.0,1740.0,1800.0,0
13818,2024-12-12 03:17:23,"737,418",80.1,0.0,1380.0,1380.0,0
13819,2024-12-12 03:24:13,"706,301",79.5,0.0,1740.0,1740.0,0
13820,2024-12-12 03:31:03,"737,2869999999999",80.9,0.0,1380.0,1440.0,0
13821,2024-12-12 03:37:52,"724,2610000000001",78.3,0.0,1380.0,1440.0,0
13822,2024-12-12 03:44:41,"699,28",80.8,0.0,1500.0,1500.0,0
13823,2024-12-12 03:51:30,"760,967",79.1,0.0,1620.0,1620.0,0
13824,2024-12-12 03:58:18,"659,768",80.4,0.0,1500.0,1560.0,0
13825,2024-12-12 04:05:07,"728,3819999999998",78.9,0.0,1500.0,1500.0,0
13826,2024-12-12 04:11:56,"727,461",79.4,0.0,1380.0,1380.0,0
13827,2024-12-12 04:18:45,"700,6010000000001",79.3,0.0,1800.0,1800.0,0
13828,2024-12-12 04:25:35,"748,1519999999999",81.3,0.0,1620.0,1620.0,0
13829,2024-12-12 04:32:23,"679,9860000000001",78.9,0.0,1320.0,1320.0,0
13830,2024-12-12 04:39:12,"696,023",80.4,0.0,1740.0,1740.0,0
13831,2024-12-12 04:46:01,"686,179",80.3,0.0,1380.0,1380.0,0
13832,2024-12-12 04:52:50,"720,6569999999999",77.9,0.0,1440.0,1500.0,0
13833,2024-12-12 04:59:39,"714,586",81.2,0.0,1680.0,1740.0,0
13834,2024-12-12 05:06:28,"736,2189999999998",78.3,0.0,1380.0,1440.0,0
13835,2024-12-12 05:13:17,"695,903",80.4,0.0,1440.0,1440.0,0
13836,2024-12-12 05:20:05,"740,1210000000001",77.8,0.0,1560.0,1560.0,0
13837,2024-12-12 05:26:54,"714,2089999999998",79.3,0.0,1500.0,1500.0,0
13838,2024-12-12 05:33:43,"649,349",79.6,0.0,1620.0,1620.0,0
13839,2024-12-12 05:40:32,"703,5039999999999",80.0,0.0,1500.0,1560.0,0
13840,2024-12-12 05:47:21,"747,4210000000002",81.0,0.0,1500.0,1560.0,0
13841,2024-12-12 05:54:09,"702,102",80.6,0.0,1740.0,1740.0,0
13842,2024-12-12 06:00:59,"734,707",79.8,0.0,1380.0,1380.0,0
13843,2024-12-12 06:07:48,"667,602",79.1,0.0,1800.0,1860.0,0
13844,2024-12-12 06:14:36,"736,553",81.2,0.0,1560.0,1620.0,0
13845,2024-12-12 06:21:26,"717,4210000000002",79.3,0.0,1440.0,1440.0,0
13846,2024-12-12 06:28:15,"704,6239999999999",79.8,0.0,1920.0,1920.0,0
13847,2024-12-12 06:35:04,"678,3610000000001",79.7,0.0,1380.0,1380.0,0
13848,2024-12-12 06:41:53,"714,1900000000002",79.3,0.0,1800.0,1860.0,0
13849,2024-12-12 06:48:42,"690,975",80.9,0.0,1380.0,1380.0,0
13850,2024-12-12 06:55:31,"720,8889999999999",78.6,0.0,1620.0,1620.0,0
13851,2024-12-12 07:02:20,"691,289",80.5,0.0,1740.0,1800.0,0
13852,2024-12-12 07:09:08,"686,675",80.3,0.0,1380.0,1380.0,0
13853,2024-12-12 07:15:57,"699,3489999999999",78.4,0.0,1620.0,1620.0,0
13854,2024-12-12 07:22:46,"711,3769999999998",80.8,0.0,1800.0,1860.0,0
13855,2024-12-12 07:29:35,"707,602",79.8,0.0,1380.0,1380.0,0
13856,2024-12-12 07:36:25,"732,3739999999999",79.9,0.0,1740.0,1800.0,0
13857,2024-12-12 07:43:14,"726,2769999999999",80.4,0.0,1440.0,1500.0,0
13858,2024-12-12 07:50:03,"740,4760000000001",78.3,0.0,1440.0,1440.0,0
13859,2024-12-12 07:56:53,"719,302",80.0,0.0,1800.0,1860.0,0
13860,2024-12-12 08:03:41,"699,967",80.4,0.0,1380.0,1440.0,0
13861,2024-12-12 08:10:30,"675,793",78.3,0.0,1440.0,1440.0,0
13862,2024-12-12 08:17:20,"719,064",79.9,0.0,1860.0,1860.0,0
13863,2024-12-12 08:24:08,"728,0930000000001",80.0,0.0,1380.0,1440.0,0
13864,2024-12-12 08:30:58,"693,05",77.8,0.0,1500.0,1500.0,0
13865,2024-12-12 08:37:47,"719,2919999999999",81.1,0.0,1560.0,1560.0,0
13866,2024-12-12 08:44:36,"710,513",79.5,0.0,1320.0,1320.0,0
13867,2024-12-12 08:51:27,"719,8330000000001",78.5,0.0,1680.0,1680.0,0
13868,2024-12-12 08:58:16,"722,187",81.1,0.0,1560.0,1560.0,0
13869,2024-12-12 09:05:05,"696,222",79.7,0.0,1320.0,1320.0,0
13870,2024-12-12 09:11:55,"681,22",78.4,0.0,1620.0,1620.0,0
13871,2024-12-12 09:18:44,"686,078",80.9,0.0,1800.0,1860.0,0
13872,2024-12-12 09:25:33,"730,75",79.8,0.0,1380.0,1380.0,0
13873,2024-12-12 09:28:44,"680,194",78.4,0.0,1500.0,1500.0,0
13874,2024-12-12 09:32:00,"721,053",79.1,0.0,1920.0,1920.0,0
13875,2024-12-12 09:32:25,"740,5260000000001",78.3,0.0,1740.0,1740.0,0
13876,2024-12-12 09:39:19,"703,686",81.2,0.0,1500.0,1500.0,0
13877,2024-12-12 09:46:12,"712,1110000000001",79.6,0.0,1380.0,1380.0,0
13878,2024-12-12 09:53:04,"707,4630000000001",78.8,0.0,1740.0,1800.0,0
13879,2024-12-12 09:59:58,"687,9910000000001",80.8,0.0,1800.0,1800.0,0
13880,2024-12-12 10:00:33,"707,128",79.7,0.0,1800.0,1860.0,0
13881,2024-12-12 10:06:51,"684,0060000000001",79.8,0.0,1320.0,1320.0,0
13882,2024-12-12 10:13:44,"731,448",78.5,0.0,1560.0,1620.0,0
13883,2024-12-12 10:20:37,"713,198",80.7,0.0,1800.0,1860.0,0
13884,2024-12-12 10:27:29,"707,227",80.0,0.0,1380.0,1380.0,0
13885,2024-12-12 10:34:22,"691,432",78.5,0.0,1500.0,1560.0,0
13886,2024-12-12 10:37:49,"727,306",79.3,0.0,1800.0,1860.0,0
13887,2024-12-12 10:41:16,"693,943",80.5,0.0,1740.0,1800.0,0
13888,2024-12-12 10:46:18,"738,747",79.6,0.0,1860.0,1860.0,0
13889,2024-12-12 10:48:08,"676,6710000000002",79.2,0.0,1320.0,1320.0,0
13890,2024-12-12 10:50:07,"664,448",80.6,0.0,1800.0,1800.0,0
13891,2024-12-12 10:55:03,"706,6189999999999",79.0,0.0,1920.0,1920.0,0
13892,2024-12-12 11:01:56,"677,133",81.3,0.0,1740.0,1800.0,0
13893,2024-12-12 11:08:22,"666,0419999999999",77.8,0.0,1620.0,1620.0,0
13894,2024-12-12 11:08:48,"689,4789999999999",78.0,0.0,1440.0,1500.0,0
13895,2024-12-12 11:15:01,"724,477",80.6,0.0,1440.0,1500.0,0
13896,2024-12-12 11:15:41,"732,7669999999998",81.3,0.0,1740.0,1800.0,0
13897,2024-12-12 11:16:51,"745,778",78.4,0.0,1980.0,1980.0,0
13898,2024-12-12 11:20:21,"706,311",81.2,0.0,1800.0,1860.0,0
13899,2024-12-12 11:22:35,"709,419",78.3,0.0,1500.0,1560.0,0
13900,2024-12-12 11:28:00,"683,7280000000001",80.3,0.0,1440.0,1500.0,0
13901,2024-12-12 11:29:26,"706,534",79.8,0.0,1980.0,2040.0,0
13902,2024-12-12 11:36:07,"676,47",79.4,0.0,1500.0,1560.0,0
13903,2024-12-12 11:42:49,"722,574",80.1,0.0,1860.0,1920.0,0
13904,2024-12-12 11:45:33,"687,4730000000001",80.6,0.0,1500.0,1500.0,0
13905,2024-12-12 11:48:53,"715,355",78.9,0.0,1380.0,1440.0,0
13906,2024-12-12 11:49:30,"718,1669999999999",80.0,0.0,1500.0,1500.0,0
13907,2024-12-12 11:54:51,"703,0069999999998",81.0,0.0,1860.0,1860.0,0
13908,2024-12-12 11:56:12,"690,9400000000002",78.9,0.0,1860.0,1860.0,0
