ID,time_stamp,hashrate,Temp,powerplan,fanspeed,hw_error_ratio
1,2024-09-23,701.6645,79.3666666666667,0,1260,0
2,2024-09-24,705.015676056338,80.1408450704225,0,1224.92957746479,0
3,2024-09-25,694.04243776824,77.0300429184549,0,1190.21459227468,0
4,2024-09-26,704.896923728814,76.5877118644068,0,1180.16949152542,0
5,2024-09-27,707.059595744681,77.851914893617,0,1186.21276595745,0
6,2024-09-28,705.666974468085,77.3578723404256,0,1187.48936170213,0
7,2024-09-29,706.938404255319,75.7595744680851,0,1185.95744680851,0
8,2024-09-30,709.006303738318,77.4560747663551,0,1412.24299065421,0
9,2024-10-01,708.900906382979,79.6948936170213,0,1563.82978723404,0
10,2024-10-02,706.489901287554,79.6094420600858,0,1578.7982832618,0
11,2024-10-03,708.301633093525,77.0877697841727,0,1465.89928057554,0
12,2024-10-04,nan,nan,nan,nan,nan
13,2024-10-07,nan,nan,nan,nan,nan
14,2024-10-08,nan,nan,nan,nan,nan
15,2024-10-09,nan,nan,nan,nan,nan
16,2024-10-10,707.8932916666668,78.88749999999999,0.0,1453.3333333333333,0.0
17,2024-10-11,708.5327051282051,79.72264957264957,0.0,1661.025641025641,0.0
18,2024-10-12,704.925,79.85084745762713,0.0,1789.0677966101696,0.0
19,2024-10-13,706.6785899581589,79.79163179916317,0.0,1806.0251046025105,0.0
20,2024-10-14,707.8401638655462,79.59033613445378,0.0,1801.5126050420167,0.0
21,2024-10-15,707.5309285714286,80.0794117647059,0.0,1812.1008403361345,0.0
22,2024-10-16,706.050194092827,80.057805907173,0.0,1804.5569620253164,0.0
23,2024-10-17,706.8068649789028,79.76202531645569,0.0,1783.0379746835442,0.0
24,2024-10-18,708.972552742616,79.7054852320675,0.0,1828.607594936709,0.0
25,2024-10-19,705.5005400843881,79.72616033755274,0.0,1814.6835443037974,0.0
26,2024-10-20,707.7363333333333,79.73206751054852,0.0,1827.5949367088608,0.0
27,2024-10-21,706.6249282700422,79.97510548523206,0.0,1816.2025316455697,0.0
28,2024-10-22,705.5679411764705,80.0483193277311,0.0,1831.2605042016808,0.0
29,2024-10-23,707.2891046025105,79.7225941422594,0.0,1841.4225941422594,0.0
30,2024-10-24,708.1235546218488,79.87058823529411,0.0,1805.2941176470588,0.0
31,2024-10-25,709.0263109243697,79.95126050420168,0.0,1816.890756302521,0.0
32,2024-10-26,707.1049075630252,79.7298319327731,0.0,1826.218487394958,0.0
33,2024-10-27,706.7827258064516,79.73951612903225,0.0,1820.0806451612902,0.0
34,2024-10-28,707.1929615384615,79.82115384615385,0.0,1839.2307692307693,0.0
35,2024-10-29,nan,nan,nan,nan,nan
36,2024-10-30,nan,nan,nan,nan,nan
37,2024-10-31,nan,nan,nan,nan,nan
38,2024-11-01,nan,nan,nan,nan,nan
39,2024-11-02,nan,nan,nan,nan,nan
40,2024-11-03,nan,nan,nan,nan,nan
41,2024-11-04,nan,nan,nan,nan,nan
42,2024-11-05,nan,nan,nan,nan,nan
43,2024-11-06,nan,nan,nan,nan,nan
44,2024-11-07,705.450089108911,79.4009900990099,0.0,1741.7821782178219,0.0
45,2024-11-08,706.404204255319,79.7059574468085,0.0,1724.936170212766,0.0
46,2024-11-09,703.5800258620691,79.65775862068965,0.0,1723.7068965517242,0.0
47,2024-11-10,709.8788076923078,79.69188034188035,0.0,1718.2051282051282,0.0
48,2024-11-11,707.4742770562772,79.73593073593074,0.0,1683.6363636363637,0.0
49,2024-11-12,707.2285435897436,79.68666666666665,0.0,1686.1538461538462,0.0
50,2024-11-14,707.2354871794871,79.66965811965811,0.0,1605.3846153846155,0.0
51,2024-11-15,706.7443903508773,79.6578947368421,0.0,1636.3157894736842,0.0
52,2024-11-16,709.6358703703704,79.7726851851852,0.0,1615.5555555555557,0.0
53,2024-11-17,707.3388101851853,80.15462962962964,0.0,1629.7222222222222,0.0
54,2024-11-18,699.2789581395346,79.83953488372093,0.0,1627.5348837209303,0.0
55,2024-11-19,693.1234859813084,79.29766355140185,0.0,1649.7196261682243,0.0
56,2024-11-20,708.8002289719626,79.56495327102805,0.0,1705.233644859813,0.0
57,2024-11-21,706.8869439252336,79.7158878504673,0.0,1670.747663551402,0.0
58,2024-11-22,708.7045233644859,79.70934579439253,0.0,1668.2242990654206,0.0
59,2024-11-23,706.5569345794393,79.73691588785046,0.0,1608.5046728971963,0.0
60,2024-11-24,710.0644741784037,79.6863849765258,0.0,1602.8169014084508,0.0
61,2024-11-25,710.7017757009345,79.73364485981308,0.0,1606.2616822429907,0.0
62,2024-11-26,706.7615324074075,79.76574074074075,0.0,1610.2777777777778,0.0
63,2024-11-27,705.0243548387097,79.82672811059909,0.0,1641.2903225806451,0.0
64,2024-11-28,705.5861720930233,79.49023255813954,0.0,1662.6976744186047,0.0
65,2024-11-29,707.094532994924,79.30862944162438,0.0,1664.1624365482232,0.0
66,2024-11-30,704.2074070351757,79.18291457286433,0.0,1617.889447236181,0.0
67,2024-12-01,707.0493969849247,79.15577889447236,0.0,1638.9949748743718,0.0
68,2024-12-02,706.5092714285713,79.04952380952382,0.0,1630.5714285714287,0.0
69,2024-12-03,705.529621495327,79.72289719626168,0.0,1644.392523364486,0.0
70,2024-12-04,709.4690046728971,79.84158878504672,0.0,1664.2990654205607,0.0
71,2024-12-05,708.5528551401868,79.71308411214953,0.0,1642.1495327102805,0.0
72,2024-12-06,707.4690747663551,79.75607476635514,0.0,1647.4766355140187,0.0
73,2024-12-07,705.8196146341464,79.39317073170731,0.0,1641.3658536585365,0.0
74,2024-12-08,708.1777962962962,79.68518518518519,0.0,1650.2777777777778,0.0
75,2024-12-09,706.1987438423644,79.02068965517242,0.0,1654.2857142857142,0.0
76,2024-12-10,709.3518883928572,79.671875,0.0,1633.6607142857142,0.0
77,2024-12-11,705.5212012987013,79.10584415584415,0.0,1646.1038961038962,0.0
78,2024-12-12,707.3007986111111,79.70694444444445,0.0,1600.8333333333333,0.0
