ID,time_stamp,hashrate,T1,T2,Fan_1,Fan_2
14579,2024-12-11 14:09:58,428,63.0,44.0,0.0,0.0
14580,2024-12-11 14:16:38,403,63.0,44.0,0.0,0.0
14581,2024-12-11 14:23:18,379,63.0,44.0,0.0,0.0
14582,2024-12-11 14:29:59,397,62.0,43.0,0.0,0.0
14583,2024-12-11 14:36:41,417,62.0,43.0,0.0,0.0
14584,2024-12-11 14:43:24,377,62.0,43.0,0.0,0.0
14585,2024-12-11 14:50:06,339,62.0,43.0,0.0,0.0
14586,2024-12-11 14:56:46,423,62.0,43.0,0.0,0.0
14587,2024-12-11 15:03:26,417,62.0,43.0,0.0,0.0
14588,2024-12-11 15:10:07,404,62.0,43.0,0.0,0.0
14589,2024-12-11 15:16:46,419,62.0,43.0,0.0,0.0
14590,2024-12-11 15:23:27,417,62.0,43.0,0.0,0.0
14591,2024-12-11 15:30:06,379,62.0,43.0,0.0,0.0
14592,2024-12-11 15:36:46,443,63.0,44.0,0.0,0.0
14593,2024-12-11 15:43:26,366,63.0,44.0,0.0,0.0
14594,2024-12-11 15:50:07,399,63.0,44.0,0.0,0.0
14595,2024-12-11 15:56:47,410,63.0,44.0,0.0,0.0
14596,2024-12-11 16:03:26,437,63.0,44.0,0.0,0.0
14597,2024-12-11 16:10:07,480,63.0,44.0,0.0,0.0
14598,2024-12-11 16:16:47,450,63.0,44.0,0.0,0.0
14599,2024-12-11 16:23:27,373,63.0,44.0,0.0,0.0
14600,2024-12-11 16:30:06,353,63.0,44.0,0.0,0.0
14601,2024-12-11 16:36:47,368,63.0,44.0,0.0,0.0
14602,2024-12-11 16:43:26,388,63.0,44.0,0.0,0.0
14603,2024-12-11 16:50:06,419,62.0,43.0,0.0,0.0
14604,2024-12-11 16:56:47,388,62.0,43.0,0.0,0.0
14605,2024-12-11 17:03:27,436,62.0,43.0,0.0,0.0
14606,2024-12-11 17:10:06,393,62.0,43.0,0.0,0.0
14607,2024-12-11 17:16:46,432,62.0,43.0,0.0,0.0
14608,2024-12-11 17:23:27,361,62.0,43.0,0.0,0.0
14609,2024-12-11 17:30:07,388,62.0,43.0,0.0,0.0
14610,2024-12-11 17:36:47,436,62.0,43.0,0.0,0.0
14611,2024-12-11 17:45:40,397,62.0,43.0,0.0,0.0
14612,2024-12-11 17:52:30,370,62.0,43.0,0.0,0.0
14613,2024-12-11 17:59:19,426,62.0,43.0,0.0,0.0
14614,2024-12-11 18:06:08,353,62.0,43.0,0.0,0.0
14615,2024-12-11 18:12:56,417,62.0,43.0,0.0,0.0
14616,2024-12-11 18:19:45,412,62.0,43.0,0.0,0.0
14617,2024-12-11 18:26:34,397,62.0,43.0,0.0,0.0
14618,2024-12-11 18:33:23,432,62.0,43.0,0.0,0.0
14619,2024-12-11 18:40:12,392,62.0,43.0,0.0,0.0
14620,2024-12-11 18:47:00,362,62.0,43.0,0.0,0.0
14621,2024-12-11 18:53:49,386,62.0,43.0,0.0,0.0
14622,2024-12-11 19:00:38,445,62.0,43.0,0.0,0.0
14623,2024-12-11 19:07:27,392,62.0,43.0,0.0,0.0
14624,2024-12-11 19:14:15,426,62.0,43.0,0.0,0.0
14625,2024-12-11 19:21:04,381,62.0,43.0,0.0,0.0
14626,2024-12-11 19:27:53,381,62.0,43.0,0.0,0.0
14627,2024-12-11 19:34:41,419,62.0,43.0,0.0,0.0
14628,2024-12-11 19:41:30,450,62.0,43.0,0.0,0.0
14629,2024-12-11 19:48:18,395,61.0,43.0,0.0,0.0
14630,2024-12-11 19:55:07,384,61.0,43.0,0.0,0.0
14631,2024-12-11 20:01:56,375,62.0,43.0,0.0,0.0
14632,2024-12-11 20:08:44,375,62.0,43.0,0.0,0.0
14633,2024-12-11 20:15:32,395,62.0,43.0,0.0,0.0
14634,2024-12-11 20:22:21,417,62.0,43.0,0.0,0.0
14635,2024-12-11 20:29:10,447,62.0,43.0,0.0,0.0
14636,2024-12-11 20:35:58,428,62.0,43.0,0.0,0.0
14637,2024-12-11 20:42:47,397,62.0,43.0,0.0,0.0
14638,2024-12-11 20:49:36,390,62.0,43.0,0.0,0.0
14639,2024-12-11 20:56:25,419,62.0,43.0,0.0,0.0
14640,2024-12-11 21:03:14,408,62.0,43.0,0.0,0.0
14641,2024-12-11 21:10:03,382,61.0,42.0,0.0,0.0
14642,2024-12-11 21:16:51,390,61.0,42.0,0.0,0.0
14643,2024-12-11 21:23:40,401,61.0,43.0,0.0,0.0
14644,2024-12-11 21:30:29,397,62.0,43.0,0.0,0.0
14645,2024-12-11 21:37:17,403,61.0,43.0,0.0,0.0
14646,2024-12-11 21:44:06,392,61.0,42.0,0.0,0.0
14647,2024-12-11 21:50:55,406,61.0,42.0,0.0,0.0
14648,2024-12-11 21:57:43,406,60.0,42.0,0.0,0.0
14649,2024-12-11 22:04:32,425,61.0,42.0,0.0,0.0
