ID,time_stamp,hashrate,T1,T2,Fan_1,Fan_2
14606,2024-12-11 14:09:34,414,67.0,48.0,0.0,0.0
14607,2024-12-11 14:16:14,357,67.0,48.0,0.0,0.0
14608,2024-12-11 14:22:54,364,67.0,48.0,0.0,0.0
14609,2024-12-11 14:29:35,368,67.0,48.0,0.0,0.0
14610,2024-12-11 14:36:16,348,66.0,47.0,0.0,0.0
14611,2024-12-11 14:42:59,331,66.0,47.0,0.0,0.0
14612,2024-12-11 14:49:41,348,66.0,47.0,0.0,0.0
14613,2024-12-11 14:56:23,348,66.0,47.0,0.0,0.0
14614,2024-12-11 15:03:03,362,67.0,48.0,0.0,0.0
14615,2024-12-11 15:09:43,401,67.0,48.0,0.0,0.0
14616,2024-12-11 15:16:23,344,66.0,47.0,0.0,0.0
14617,2024-12-11 15:23:03,368,66.0,47.0,0.0,0.0
14618,2024-12-11 15:29:43,382,66.0,47.0,0.0,0.0
14619,2024-12-11 15:36:23,410,67.0,47.0,0.0,0.0
14620,2024-12-11 15:43:03,353,67.0,47.0,0.0,0.0
14621,2024-12-11 15:49:43,351,67.0,48.0,0.0,0.0
14622,2024-12-11 15:56:23,392,67.0,48.0,0.0,0.0
14623,2024-12-11 16:03:03,350,67.0,48.0,0.0,0.0
14624,2024-12-11 16:09:42,381,67.0,48.0,0.0,0.0
14625,2024-12-11 16:16:23,337,67.0,47.0,0.0,0.0
14626,2024-12-11 16:23:03,375,67.0,47.0,0.0,0.0
14627,2024-12-11 16:29:43,419,67.0,47.0,0.0,0.0
14628,2024-12-11 16:36:23,432,67.0,47.0,0.0,0.0
14629,2024-12-11 16:43:03,357,66.0,47.0,0.0,0.0
14630,2024-12-11 16:49:42,388,66.0,47.0,0.0,0.0
14631,2024-12-11 16:56:23,381,66.0,47.0,0.0,0.0
14632,2024-12-11 17:03:03,377,66.0,47.0,0.0,0.0
14633,2024-12-11 17:09:43,382,66.0,47.0,0.0,0.0
14634,2024-12-11 17:16:23,361,66.0,47.0,0.0,0.0
14635,2024-12-11 17:23:02,382,66.0,47.0,0.0,0.0
14636,2024-12-11 17:29:43,384,66.0,47.0,0.0,0.0
14637,2024-12-11 17:36:23,370,66.0,47.0,0.0,0.0
14638,2024-12-11 17:52:02,379,66.0,47.0,0.0,0.0
14639,2024-12-11 17:58:51,357,66.0,47.0,0.0,0.0
14640,2024-12-11 18:05:40,353,66.0,47.0,0.0,0.0
14641,2024-12-11 18:12:29,359,66.0,47.0,0.0,0.0
14642,2024-12-11 18:19:17,361,66.0,47.0,0.0,0.0
14643,2024-12-11 18:26:07,372,66.0,47.0,0.0,0.0
14644,2024-12-11 18:32:55,377,66.0,47.0,0.0,0.0
14645,2024-12-11 18:39:44,403,66.0,47.0,0.0,0.0
14646,2024-12-11 18:46:32,377,66.0,47.0,0.0,0.0
14647,2024-12-11 18:53:21,346,66.0,47.0,0.0,0.0
14648,2024-12-11 19:00:10,350,66.0,47.0,0.0,0.0
14649,2024-12-11 19:06:59,406,66.0,47.0,0.0,0.0
14650,2024-12-11 19:13:48,406,66.0,47.0,0.0,0.0
14651,2024-12-11 19:20:36,368,66.0,47.0,0.0,0.0
14652,2024-12-11 19:27:25,384,66.0,47.0,0.0,0.0
14653,2024-12-11 19:34:13,357,66.0,47.0,0.0,0.0
14654,2024-12-11 19:41:02,393,66.0,47.0,0.0,0.0
14655,2024-12-11 19:47:50,375,66.0,47.0,0.0,0.0
14656,2024-12-11 19:54:39,384,66.0,47.0,0.0,0.0
14657,2024-12-11 20:01:28,375,66.0,47.0,0.0,0.0
14658,2024-12-11 20:08:16,377,66.0,47.0,0.0,0.0
14659,2024-12-11 20:15:05,342,66.0,47.0,0.0,0.0
14660,2024-12-11 20:21:53,393,66.0,47.0,0.0,0.0
14661,2024-12-11 20:28:42,382,66.0,47.0,0.0,0.0
14662,2024-12-11 20:35:30,393,66.0,47.0,0.0,0.0
14663,2024-12-11 20:42:19,353,66.0,47.0,0.0,0.0
14664,2024-12-11 20:49:08,395,66.0,47.0,0.0,0.0
14665,2024-12-11 20:55:57,326,66.0,47.0,0.0,0.0
14666,2024-12-11 21:02:46,412,66.0,47.0,0.0,0.0
14667,2024-12-11 21:09:35,344,65.0,46.0,0.0,0.0
14668,2024-12-11 21:16:24,362,65.0,46.0,0.0,0.0
14669,2024-12-11 21:23:12,329,65.0,46.0,0.0,0.0
14670,2024-12-11 21:30:01,357,66.0,46.0,0.0,0.0
14671,2024-12-11 21:36:49,353,66.0,46.0,0.0,0.0
14672,2024-12-11 21:43:38,326,65.0,46.0,0.0,0.0
14673,2024-12-11 21:50:26,361,65.0,46.0,0.0,0.0
14674,2024-12-11 21:57:15,388,65.0,46.0,0.0,0.0
14675,2024-12-11 22:04:04,344,65.0,46.0,0.0,0.0
14676,2024-12-11 22:10:52,326,65.0,46.0,0.0,0.0
14677,2024-12-11 22:17:41,390,65.0,46.0,0.0,0.0
14678,2024-12-11 22:24:30,339,65.0,46.0,0.0,0.0
14679,2024-12-11 22:31:18,353,66.0,47.0,0.0,0.0
14680,2024-12-11 22:38:07,388,66.0,47.0,0.0,0.0
14681,2024-12-11 22:44:55,361,66.0,47.0,0.0,0.0
14682,2024-12-11 22:51:44,403,66.0,47.0,0.0,0.0
14683,2024-12-11 22:58:33,401,66.0,47.0,0.0,0.0
14684,2024-12-11 23:05:22,342,66.0,47.0,0.0,0.0
14685,2024-12-11 23:12:10,353,66.0,47.0,0.0,0.0
14686,2024-12-11 23:18:59,392,66.0,47.0,0.0,0.0
14687,2024-12-11 23:25:47,350,66.0,47.0,0.0,0.0
14688,2024-12-11 23:32:36,342,66.0,47.0,0.0,0.0
14689,2024-12-11 23:39:25,346,66.0,47.0,0.0,0.0
14690,2024-12-11 23:46:13,381,66.0,47.0,0.0,0.0
14691,2024-12-11 23:53:02,351,66.0,47.0,0.0,0.0
14692,2024-12-11 23:59:51,426,66.0,47.0,0.0,0.0
14693,2024-12-12 00:06:43,375,66.0,47.0,0.0,0.0
14694,2024-12-12 00:13:32,437,66.0,47.0,0.0,0.0
14695,2024-12-12 00:20:21,370,66.0,47.0,0.0,0.0
14696,2024-12-12 00:27:10,346,66.0,47.0,0.0,0.0
14697,2024-12-12 00:33:58,397,66.0,47.0,0.0,0.0
14698,2024-12-12 00:40:47,350,66.0,47.0,0.0,0.0
14699,2024-12-12 00:47:35,366,66.0,47.0,0.0,0.0
14700,2024-12-12 00:54:24,298,66.0,47.0,0.0,0.0
14701,2024-12-12 01:01:13,379,66.0,47.0,0.0,0.0
14702,2024-12-12 01:08:02,346,66.0,47.0,0.0,0.0
14703,2024-12-12 01:14:51,397,66.0,47.0,0.0,0.0
14704,2024-12-12 01:21:39,381,66.0,47.0,0.0,0.0
14705,2024-12-12 01:28:28,373,66.0,47.0,0.0,0.0
14706,2024-12-12 01:35:17,426,66.0,47.0,0.0,0.0
14707,2024-12-12 01:42:05,333,66.0,47.0,0.0,0.0
14708,2024-12-12 01:48:54,386,66.0,47.0,0.0,0.0
14709,2024-12-12 01:55:43,384,66.0,47.0,0.0,0.0
14710,2024-12-12 02:02:32,351,66.0,47.0,0.0,0.0
14711,2024-12-12 02:09:21,346,66.0,46.0,0.0,0.0
14712,2024-12-12 02:16:10,350,65.0,46.0,0.0,0.0
14713,2024-12-12 02:22:58,346,66.0,46.0,0.0,0.0
14714,2024-12-12 02:29:47,397,66.0,46.0,0.0,0.0
14715,2024-12-12 02:36:36,397,66.0,46.0,0.0,0.0
14716,2024-12-12 02:43:25,322,65.0,46.0,0.0,0.0
14717,2024-12-12 02:50:14,344,66.0,46.0,0.0,0.0
14718,2024-12-12 02:57:03,322,66.0,46.0,0.0,0.0
14719,2024-12-12 03:03:52,368,66.0,46.0,0.0,0.0
14720,2024-12-12 03:10:41,362,66.0,46.0,0.0,0.0
14721,2024-12-12 03:17:30,342,66.0,47.0,0.0,0.0
14722,2024-12-12 03:24:20,375,66.0,47.0,0.0,0.0
14723,2024-12-12 03:31:09,357,66.0,47.0,0.0,0.0
14724,2024-12-12 03:37:58,324,66.0,47.0,0.0,0.0
14725,2024-12-12 03:44:47,361,66.0,47.0,0.0,0.0
14726,2024-12-12 03:51:36,388,66.0,47.0,0.0,0.0
14727,2024-12-12 03:58:25,344,66.0,46.0,0.0,0.0
14728,2024-12-12 04:05:14,392,66.0,47.0,0.0,0.0
14729,2024-12-12 04:12:03,425,66.0,47.0,0.0,0.0
14730,2024-12-12 04:18:52,353,66.0,47.0,0.0,0.0
14731,2024-12-12 04:25:41,388,66.0,47.0,0.0,0.0
14732,2024-12-12 04:32:30,359,66.0,47.0,0.0,0.0
14733,2024-12-12 04:39:18,359,66.0,47.0,0.0,0.0
14734,2024-12-12 04:46:07,337,66.0,47.0,0.0,0.0
14735,2024-12-12 04:52:56,344,66.0,47.0,0.0,0.0
14736,2024-12-12 04:59:45,359,66.0,47.0,0.0,0.0
14737,2024-12-12 05:06:34,318,66.0,47.0,0.0,0.0
14738,2024-12-12 05:13:23,377,66.0,46.0,0.0,0.0
14739,2024-12-12 05:20:12,388,66.0,46.0,0.0,0.0
14740,2024-12-12 05:27:00,309,66.0,46.0,0.0,0.0
14741,2024-12-12 05:33:49,372,66.0,46.0,0.0,0.0
